Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
14663, 5221, 0.00, 2971.25
14681, 5147, 0.00, 2971.25
14698, 5117, 0.00, 2971.25
14715, 5053, 0.00, 2971.25
14733, 5015, 0.00, 2971.25
14750, 4948, 0.00, 2971.25
14768, 4913, 0.00, 2971.25
14800, 4800, 0.00, 2971.25
14818, 4772, 0.00, 2971.25
14852, 4662, 0.00, 2971.25
14869, 4628, 0.00, 2971.25
14886, 4591, 0.00, 2971.25
14904, 4516, 0.00, 2971.25
14921, 4477, 0.00, 2971.25
14938, 4443, 0.00, 2971.25
14971, 4332, 0.00, 2971.25
14989, 4291, 0.00, 2971.25
15006, 4256, 0.00, 2971.25
15087, 4019, 0.00, 2971.25
15105, 3980, 0.00, 2971.25
15122, 3940, 0.00, 2971.25
15139, 3900, 0.00, 2971.25
15157, 3858, 0.00, 2971.25
15238, 3649, 0.00, 2971.25
15271, 3562, 0.00, 2971.25
15304, 3476, 0.00, 2971.25
15322, 3432, 0.00, 2971.25
15339, 3388, 0.00, 2971.25
15356, 3342, 0.00, 2971.25
15374, 3295, 0.00, 2971.25
15391, 3250, 0.00, 2971.25
15409, 3204, 0.00, 2971.25
15425, 3157, 0.00, 2971.25
15442, 3113, 0.00, 2971.25
15508, 2962, 0.00, 2971.25
15525, 2914, 0.00, 2971.25
15543, 3171, 0.00, 2971.25
15592, 2760, 0.00, 2971.25
15609, 2716, 0.00, 2971.25
15659, 2599, 0.00, 2971.25
15708, 2483, 0.00, 2971.25
15757, 2365, 0.00, 2971.25
15807, 2247, 0.00, 2971.25
15840, 2191, 0.00, 2971.25
15921, 1995, 0.00, 2971.25
15954, 1925, 0.00, 2971.25
15987, 1856, 0.00, 2971.25
16021, 1779, 0.00, 2971.25
16054, 1704, 0.00, 2971.25
16136, 1541, 0.00, 2971.25
16217, 1363, 0.00, 2971.25
16266, 1265, 0.00, 2971.25
16316, 1160, 0.00, 2971.25
16445, 917, 0.00, 2971.25
16622, 585, 0.00, 2971.25
