Found INA260 chip,,,
time (ms),time (s), mA, mA max
3757,3.401,0,4006.25
3761,3.405,0,4006.25
3765,3.409,0,4006.25
3769,3.413,0,4006.25
3773,3.417,0,4006.25
3777,3.421,0,4006.25
3781,3.425,0,4006.25
3786,3.43,0,4006.25
3790,3.434,0,4006.25
3794,3.438,0,4006.25
3799,3.443,0,4006.25
3803,3.447,0,4006.25
3807,3.451,0,4006.25
3811,3.455,0,4006.25
3816,3.46,0,4006.25
3820,3.464,0,4006.25
3824,3.468,0,4006.25
3828,3.472,0,4006.25
3832,3.476,0,4006.25
3836,3.48,0,4006.25
3842,3.486,0,4006.25
3846,3.49,0,4006.25
3850,3.494,1.25,4006.25
3854,3.498,0,4006.25
3858,3.502,0,4006.25
3862,3.506,0,4006.25
3866,3.51,0,4006.25
3871,3.515,0,4006.25
3875,3.519,0,4006.25
3879,3.523,0,4006.25
3884,3.528,0,4006.25
3888,3.532,0,4006.25
3892,3.536,0,4006.25
3896,3.54,0,4006.25
3901,3.545,0,4006.25
3905,3.549,0,4006.25
3909,3.553,0,4006.25
3913,3.557,0,4006.25
3917,3.561,0,4006.25
3921,3.565,0,4006.25
3927,3.571,0,4006.25
3931,3.575,0,4006.25
3935,3.579,0,4006.25
3939,3.583,0,4006.25
3943,3.587,0,4006.25
3947,3.591,0,4006.25
3951,3.595,0,4006.25
3956,3.6,0,4006.25
3960,3.604,0,4006.25
3964,3.608,0,4006.25
3969,3.613,0,4006.25
3973,3.617,0,4006.25
3977,3.621,0,4006.25
3981,3.625,0,4006.25
3986,3.63,0,4006.25
3990,3.634,0,4006.25
3994,3.638,0,4006.25
3998,3.642,0,4006.25
4002,3.646,0,4006.25
4006,3.65,0,4006.25
4012,3.656,0,4006.25
4016,3.66,0,4006.25
4020,3.664,0,4006.25
4024,3.668,0,4006.25
4028,3.672,0,4006.25
4032,3.676,0,4006.25
4036,3.68,0,4006.25
4041,3.685,0,4006.25
4045,3.689,0,4006.25
4049,3.693,0,4006.25
4054,3.698,0,4006.25
4058,3.702,0,4006.25
4062,3.706,0,4006.25
4066,3.71,0,4006.25
4071,3.715,0,4006.25
4075,3.719,0,4006.25
4079,3.723,0,4006.25
4083,3.727,0,4006.25
4087,3.731,0,4006.25
4091,3.735,0,4006.25
4097,3.741,0,4006.25
4101,3.745,0,4006.25
4105,3.749,0,4006.25
4109,3.753,0,4006.25
4113,3.757,0,4006.25
4117,3.761,0,4006.25
4121,3.765,0,4006.25
4126,3.77,0,4006.25
4130,3.774,0,4006.25
4134,3.778,0,4006.25
4139,3.783,0,4006.25
4143,3.787,0,4006.25
4147,3.791,0,4006.25
4151,3.795,0,4006.25
4156,3.8,0,4006.25
4160,3.804,0,4006.25
4164,3.808,0,4006.25
4168,3.812,0,4006.25
4172,3.816,0,4006.25
4176,3.82,0,4006.25
4182,3.826,0,4006.25
4186,3.83,0,4006.25
4190,3.834,0,4006.25
4194,3.838,0,4006.25
4198,3.842,0,4006.25
4202,3.846,0,4006.25
4206,3.85,0,4006.25
4211,3.855,0,4006.25
4215,3.859,0,4006.25
4219,3.863,0,4006.25
4224,3.868,0,4006.25
4228,3.872,0,4006.25
4232,3.876,0,4006.25
4237,3.881,0,4006.25
4241,3.885,0,4006.25
4245,3.889,0,4006.25
4249,3.893,0,4006.25
4253,3.897,0,4006.25
4257,3.901,0,4006.25
4261,3.905,0,4006.25
4267,3.911,0,4006.25
4271,3.915,0,4006.25
4275,3.919,0,4006.25
4279,3.923,0,4006.25
4283,3.927,0,4006.25
4287,3.931,0,4006.25
4291,3.935,0,4006.25
4296,3.94,0,4006.25
4300,3.944,0,4006.25
4304,3.948,0,4006.25
4308,3.952,0,4006.25
4313,3.957,0,4006.25
4317,3.961,0,4006.25
4322,3.966,0,4006.25
4326,3.97,0,4006.25
4330,3.974,0,4006.25
4334,3.978,0,4006.25
4338,3.982,0,4006.25
4342,3.986,0,4006.25
4346,3.99,0,4006.25
4352,3.996,0,4006.25
4356,4,0,4006.25
4360,4.004,0,4006.25
4364,4.008,0,4006.25
4368,4.012,0,4006.25
4372,4.016,0,4006.25
4376,4.02,0,4006.25
4381,4.025,0,4006.25
4385,4.029,0,4006.25
4389,4.033,0,4006.25
4393,4.037,0,4006.25
4398,4.042,0,4006.25
4402,4.046,0,4006.25
4407,4.051,0,4006.25
4411,4.055,0,4006.25
4415,4.059,0,4006.25
4419,4.063,0,4006.25
4423,4.067,0,4006.25
4427,4.071,0,4006.25
4431,4.075,0,4006.25
4436,4.08,0,4006.25
4441,4.085,0,4006.25
4445,4.089,0,4006.25
4449,4.093,0,4006.25
4453,4.097,0,4006.25
4457,4.101,0,4006.25
4461,4.105,0,4006.25
4466,4.11,0,4006.25
4470,4.114,0,4006.25
4474,4.118,0,4006.25
4478,4.122,0,4006.25
4483,4.127,0,4006.25
4487,4.131,0,4006.25
4492,4.136,0,4006.25
4496,4.14,0,4006.25
