time (ms),time(s), rpm, mA, mA max,,,,
10217,6.878,9090,0,3455,,,,
10228,6.889,9101,0,3455,,,,
10240,6.901,9047,0,3455,,,,
10251,6.912,8965,0,3455,,,,
10262,6.923,8982,0,3455,,,,
10273,6.934,8923,0,3455,,,,
10284,6.945,8860,0,3455,,,,
10295,6.956,8860,0,3455,,,,
10306,6.967,8807,0,3455,,,,
10317,6.978,8756,0,3455,,,,
10328,6.989,8736,0,3455,,,,
10339,7,8685,0,3455,,,,
10350,7.011,8665,0,3455,,,,
10361,7.022,8600,0,3455,,,,
10372,7.033,8591,0,3455,,,,
10383,7.044,8537,0,3455,,,,
10394,7.055,8484,0,3455,,,,
10405,7.066,8465,0,3455,,,,
10416,7.077,8412,0,3455,,,,
10427,7.088,8389,0,3455,,,,
10438,7.099,8337,0,3455,,,,
10449,7.11,8342,0,3455,,,,
10460,7.121,8264,0,3455,,,,
10471,7.132,8237,0,3455,,,,
10482,7.143,8165,0,3455,,,,
10493,7.154,8169,0,3455,,,,
10504,7.165,8108,0,3455,,,,
10515,7.176,8116,0,3455,,,,
10526,7.187,8025,0,3455,,,,
10537,7.198,8012,0,3455,,,,
10548,7.209,7953,0,3455,,,,
10559,7.22,7932,0,3455,,,,
10570,7.231,7874,0,3455,,,,
10582,7.243,7853,0,3455,,,,
10593,7.254,7804,0,3455,,,,
10604,7.265,7780,0,3455,,,,
10615,7.276,7743,0,3455,,,,
10626,7.287,7700,0,3455,,,,
10637,7.298,7668,0,3455,,,,
10648,7.309,7618,0,3455,,,,
10659,7.32,7591,0,3455,,,,
10670,7.331,7564,0,3455,,,,
10681,7.342,7511,0,3455,,,,
10692,7.353,7485,0,3455,,,,
10703,7.364,7418,0,3455,,,,
10714,7.375,7403,0,3455,,,,
10725,7.386,7381,0,3455,,,,
10736,7.397,7334,0,3455,,,,
10747,7.408,7292,0,3455,,,,
10758,7.419,7274,0,3455,,,,
10769,7.43,7242,0,3455,,,,
10780,7.441,7194,0,3455,,,,
10791,7.452,7170,0,3455,,,,
10802,7.463,7146,0,3455,,,,
10813,7.474,7082,0,3455,,,,
10824,7.485,7038,0,3455,,,,
10835,7.496,7065,0,3455,,,,
10846,7.507,6950,0,3455,,,,
10857,7.518,6944,0,3455,,,,
10868,7.529,6918,0,3455,,,,
10880,7.541,6890,0,3455,,,,
10891,7.552,6836,0,3455,,,,
10902,7.563,6805,0,3455,,,,
10913,7.574,6802,0,3455,,,,
10924,7.585,6729,0,3455,,,,
10935,7.596,6696,0,3455,,,,
10946,7.607,6666,0,3455,,,,
10957,7.618,6654,0,3455,,,,
10968,7.629,6596,0,3455,,,,
10979,7.64,6530,0,3455,,,,
10990,7.651,6524,0,3455,,,,
11001,7.662,6499,0,3455,,,,
11012,7.673,6482,0,3455,,,,
11023,7.684,6426,0,3455,,,,
11034,7.695,6410,0,3455,,,,
11045,7.706,6347,0,3455,,,,
