Adafruit INA260 Test,,,,
Found INA260 chip,,,,
time (ms),time(s), rpm, mA, mA max
13801,8.763,0,115,2620
13812,8.774,0,112.5,2620
13824,8.786,0,111.25,2620
13835,8.797,0,112.5,2620
13846,8.808,0,112.5,2620
13857,8.819,0,112.5,2620
13868,8.83,0,112.5,2620
13879,8.841,0,112.5,2620
13890,8.852,0,113.75,2620
13901,8.863,0,113.75,2620
13912,8.874,0,113.75,2620
13923,8.885,0,112.5,2620
13934,8.896,0,110,2620
13945,8.907,0,112.5,2620
13956,8.918,0,112.5,2620
13967,8.929,0,112.5,2620
13978,8.94,0,112.5,2620
13989,8.951,0,111.25,2620
14000,8.962,0,111.25,2620
14011,8.973,0,112.5,2620
14022,8.984,0,111.25,2620
14033,8.995,0,112.5,2620
14044,9.006,0,112.5,2620
14055,9.017,0,111.25,2620
14066,9.028,0,111.25,2620
14077,9.039,0,112.5,2620
14088,9.05,0,113.75,2620
14099,9.061,0,111.25,2620
14110,9.072,0,113.75,2620
14121,9.083,0,112.5,2620
14132,9.094,0,112.5,2620
14143,9.105,0,110,2620
14154,9.116,0,111.25,2620
14166,9.128,0,111.25,2620
14177,9.139,0,112.5,2620
14188,9.15,0,111.25,2620
14199,9.161,0,112.5,2620
14210,9.172,0,110,2620
14221,9.183,0,112.5,2620
14232,9.194,0,112.5,2620
14243,9.205,0,111.25,2620
14254,9.216,0,111.25,2620
14265,9.227,0,110,2620
14276,9.238,0,112.5,2620
14287,9.249,0,112.5,2620
14298,9.26,0,110,2620
14309,9.271,0,112.5,2620
14320,9.282,0,111.25,2620
14331,9.293,0,111.25,2620
14342,9.304,0,112.5,2620
14353,9.315,0,111.25,2620
14364,9.326,0,110,2620
14375,9.337,0,111.25,2620
14386,9.348,0,111.25,2620
14397,9.359,0,111.25,2620
14408,9.37,0,111.25,2620
14419,9.381,0,112.5,2620
14430,9.392,0,112.5,2620
14441,9.403,0,111.25,2620
14452,9.414,0,111.25,2620
14464,9.426,0,112.5,2620
14475,9.437,0,112.5,2620
14486,9.448,0,111.25,2620
14497,9.459,0,111.25,2620
14508,9.47,0,111.25,2620
14519,9.481,0,112.5,2620
14530,9.492,0,111.25,2620
14541,9.503,0,111.25,2620
14552,9.514,0,111.25,2620
14563,9.525,0,110,2620
14574,9.536,0,111.25,2620
14585,9.547,0,110,2620
14596,9.558,0,111.25,2620
14607,9.569,0,111.25,2620
14618,9.58,0,111.25,2620
14629,9.591,0,110,2620
14640,9.602,0,110,2620
